Japanese,English
何,what
あ,a
あなた,you
言,words
行,line
人,people
知,knowledge
事,case
彼女,she
お前,you
話,story
来,Next
分か,Minutes
者,person
聞,Listen
死,death
時,time
ああ,ah
殺,murder
前,before
中,Medium
達,reach
必要,need
あの,that
気,air
大丈夫,Are you okay
自分,myself
持,Hold
本当,TRUE
時間,time
我々,we
一,one
的,target
無,Nothing
ありがとう,thank you
家,house
会,Association
日,day
年,year
仕事,work
手,hand
一緒,together
後,rear
出来,Done
他,others
入,Enter
電話,phone
目,eye
様,Mr.
分,minutes
車,car
所,place
あんた,You
度,degree
同じ,same
場所,place
問題,problem
子供,child
愛,love
金,gold
名前,name
子,child
信,Faith
さあ,here we go
少し,a bit
使,messenger
全て,all
世界,world
教え,lesson
通り,street
来る,come
上,above
入れ,Get in
人間,human
行け,Go
今日,today
物,thing
女,woman
呼,call
生き,Living
あれ,That
じゃあ,Well then
止め,Stop
心配,anxiety
母,mother
連れ,companion
関係,relationship
外,outside
家族,family
起き,Wake up
意味,meaning
神,God
警察,police
力,force
最後,last